Meter #,Sec Meter #,Serv Addr,Stat,Meter Type,Account,Serv Loc #,Name,Service Use Type,AMR Transponder ID
155664630,230491586,,8,1,,,,,230491586
155664631,230491601,,8,1,,,,,230491601
155664632,230491653,,8,1,,,,,230491653
155664633,230491919,,8,1,,,,,230491919
155664634,230491616,,8,1,,,,,230491616
155664635,230491593,,8,1,,,,,230491593
155664636,230491958,,8,1,,,,,230491958
155664637,230491646,,8,1,,,,,230491646
155664638,230491629,,8,1,,,,,230491629
155664639,230491650,,8,1,,,,,230491650
155664640,230491656,,8,1,,,,,230491656
155664641,230491627,,8,1,,,,,230491627
155664642,230491597,,8,1,,,,,230491597
155664643,230491590,,8,1,,,,,230491590
155664644,230491606,,8,1,,,,,230491606
155664645,230491602,,8,1,,,,,230491602
157787380,63485847,,8,1,,,,,63485847
157787381,63485821,,8,1,,,,,63485821
157787382,63485865,,8,1,,,,,63485865
157787383,63485845,,8,1,,,,,63485845
157787384,63485842,,8,1,,,,,63485842
157787385,63485790,,8,1,,,,,63485790
157787386,63485808,,8,1,,,,,63485808
157787387,63485806,,8,1,,,,,63485806
157787388,63485862,,8,1,,,,,63485862
157787389,63485851,,8,1,,,,,63485851
157787390,63485869,,8,1,,,,,63485869
157787391,63485810,,8,1,,,,,63485810
157787392,63485809,,8,1,,,,,63485809
157787393,63485854,,8,1,,,,,63485854
157787394,63485864,,8,1,,,,,63485864
157787395,63485843,,8,1,,,,,63485843
157787396,63485858,,8,1,,,,,63485858
157787397,63485849,,8,1,,,,,63485849
157787398,63485861,,8,1,,,,,63485861
157787399,63485877,,8,1,,,,,63485877
157787400,63485859,,8,1,,,,,63485859
157787401,63485856,,8,1,,,,,63485856
157787402,63485860,,8,1,,,,,63485860
157787403,63485874,,8,1,,,,,63485874
